,nr,participant,run,direction,surface,count,dur
0,190,TWOU,nouctun,BL,gaze_tmopt,0,15553.332500000019
0,190,TWOU,nouctun,BL,none,22,15553.332500000019
0,191,TWOU,nouctun,BR,total,933,9230.0
0,191,TWOU,nouctun,BR,gaze_fw,765,9230.0
0,191,TWOU,nouctun,BR,gaze_ic,156,9230.0
0,191,TWOU,nouctun,BR,gaze_lm,0,9230.0
0,191,TWOU,nouctun,BR,gaze_lmopt,0,9230.0
0,191,TWOU,nouctun,BR,gaze_tm,2,9230.0
0,191,TWOU,nouctun,BR,gaze_tmopt,31,9230.0
0,191,TWOU,nouctun,BR,none,14,9230.0
0,192,TWOU,nouctun,FR,total,888,9150.0
0,192,TWOU,nouctun,FR,gaze_fw,834,9150.0
0,192,TWOU,nouctun,FR,gaze_ic,47,9150.0
0,192,TWOU,nouctun,FR,gaze_lm,0,9150.0
0,192,TWOU,nouctun,FR,gaze_lmopt,0,9150.0
0,192,TWOU,nouctun,FR,gaze_tm,0,9150.0
0,192,TWOU,nouctun,FR,gaze_tmopt,0,9150.0
0,192,TWOU,nouctun,FR,none,8,9150.0
0,193,TWOU,nouctun,FR,total,901,9600.0
0,193,TWOU,nouctun,FR,gaze_fw,665,9600.0
0,193,TWOU,nouctun,FR,gaze_ic,115,9600.0
0,193,TWOU,nouctun,FR,gaze_lm,0,9600.0
0,193,TWOU,nouctun,FR,gaze_lmopt,2,9600.0
0,193,TWOU,nouctun,FR,gaze_tm,39,9600.0
0,193,TWOU,nouctun,FR,gaze_tmopt,39,9600.0
0,193,TWOU,nouctun,FR,none,82,9600.0
0,194,TWOU,uctun,FL,total,1169,12230.0
0,194,TWOU,uctun,FL,gaze_fw,793,12230.0
0,194,TWOU,uctun,FL,gaze_ic,0,12230.0
0,194,TWOU,uctun,FL,gaze_lm,0,12230.0
0,194,TWOU,uctun,FL,gaze_lmopt,0,12230.0
0,194,TWOU,uctun,FL,gaze_tm,333,12230.0
0,194,TWOU,uctun,FL,gaze_tmopt,374,12230.0
0,194,TWOU,uctun,FL,none,7,12230.0
0,195,TWOU,uctun,FR,total,1446,14590.0
0,195,TWOU,uctun,FR,gaze_fw,1110,14590.0
0,195,TWOU,uctun,FR,gaze_ic,0,14590.0
0,195,TWOU,uctun,FR,gaze_lm,0,14590.0
0,195,TWOU,uctun,FR,gaze_lmopt,0,14590.0
0,195,TWOU,uctun,FR,gaze_tm,286,14590.0
0,195,TWOU,uctun,FR,gaze_tmopt,398,14590.0
0,195,TWOU,uctun,FR,none,75,14590.0
0,196,TWOU,uctun,BL,total,952,10293.328125
0,196,TWOU,uctun,BL,gaze_fw,574,10293.328125
0,196,TWOU,uctun,BL,gaze_ic,0,10293.328125
0,196,TWOU,uctun,BL,gaze_lm,0,10293.328125
0,196,TWOU,uctun,BL,gaze_lmopt,0,10293.328125
0,196,TWOU,uctun,BL,gaze_tm,157,10293.328125
0,196,TWOU,uctun,BL,gaze_tmopt,203,10293.328125
0,196,TWOU,uctun,BL,none,191,10293.328125
0,197,TWOU,uctun,BR,total,927,9510.0
0,197,TWOU,uctun,BR,gaze_fw,564,9510.0
0,197,TWOU,uctun,BR,gaze_ic,0,9510.0
0,197,TWOU,uctun,BR,gaze_lm,0,9510.0
0,197,TWOU,uctun,BR,gaze_lmopt,0,9510.0
0,197,TWOU,uctun,BR,gaze_tm,107,9510.0
0,197,TWOU,uctun,BR,gaze_tmopt,111,9510.0
0,197,TWOU,uctun,BR,none,258,9510.0
