,nr,participant,run,direction,surface,count
0,193,TWOU,nouctun,FR,gaze_tm,39
0,193,TWOU,nouctun,FR,gaze_tmopt,39
0,193,TWOU,nouctun,FR,none,82
0,194,TWOU,uctun,FL,total,1169
0,194,TWOU,uctun,FL,gaze_fw,793
0,194,TWOU,uctun,FL,gaze_ic,0
0,194,TWOU,uctun,FL,gaze_lm,0
0,194,TWOU,uctun,FL,gaze_lmopt,0
0,194,TWOU,uctun,FL,gaze_tm,333
0,194,TWOU,uctun,FL,gaze_tmopt,374
0,194,TWOU,uctun,FL,none,7
0,195,TWOU,uctun,FR,total,1446
0,195,TWOU,uctun,FR,gaze_fw,1110
0,195,TWOU,uctun,FR,gaze_ic,0
0,195,TWOU,uctun,FR,gaze_lm,0
0,195,TWOU,uctun,FR,gaze_lmopt,0
0,195,TWOU,uctun,FR,gaze_tm,286
0,195,TWOU,uctun,FR,gaze_tmopt,398
0,195,TWOU,uctun,FR,none,75
0,196,TWOU,uctun,BL,total,952
0,196,TWOU,uctun,BL,gaze_fw,574
0,196,TWOU,uctun,BL,gaze_ic,0
0,196,TWOU,uctun,BL,gaze_lm,0
0,196,TWOU,uctun,BL,gaze_lmopt,0
0,196,TWOU,uctun,BL,gaze_tm,157
0,196,TWOU,uctun,BL,gaze_tmopt,203
0,196,TWOU,uctun,BL,none,191
0,197,TWOU,uctun,BR,total,927
0,197,TWOU,uctun,BR,gaze_fw,564
0,197,TWOU,uctun,BR,gaze_ic,0
0,197,TWOU,uctun,BR,gaze_lm,0
0,197,TWOU,uctun,BR,gaze_lmopt,0
0,197,TWOU,uctun,BR,gaze_tm,107
0,197,TWOU,uctun,BR,gaze_tmopt,111
0,197,TWOU,uctun,BR,none,258
0,198,TWOU,uctun,FRs,total,323
0,198,TWOU,uctun,FRs,gaze_fw,326
0,198,TWOU,uctun,FRs,gaze_ic,0
0,198,TWOU,uctun,FRs,gaze_lm,0
0,198,TWOU,uctun,FRs,gaze_lmopt,0
0,198,TWOU,uctun,FRs,gaze_tm,0
0,198,TWOU,uctun,FRs,gaze_tmopt,0
0,198,TWOU,uctun,FRs,none,0
0,199,TWOU,uctun,FL,total,1201
0,199,TWOU,uctun,FL,gaze_fw,849
0,199,TWOU,uctun,FL,gaze_ic,0
0,199,TWOU,uctun,FL,gaze_lm,0
0,199,TWOU,uctun,FL,gaze_lmopt,0
0,199,TWOU,uctun,FL,gaze_tm,278
0,199,TWOU,uctun,FL,gaze_tmopt,330
0,199,TWOU,uctun,FL,none,22
0,200,TWOU,uctun,BL,total,914
0,200,TWOU,uctun,BL,gaze_fw,435
0,200,TWOU,uctun,BL,gaze_ic,0
0,200,TWOU,uctun,BL,gaze_lm,0
0,200,TWOU,uctun,BL,gaze_lmopt,0
0,200,TWOU,uctun,BL,gaze_tm,180
0,200,TWOU,uctun,BL,gaze_tmopt,197
0,200,TWOU,uctun,BL,none,286
0,201,TWOU,uctun,FRs,total,337
0,201,TWOU,uctun,FRs,gaze_fw,338
0,201,TWOU,uctun,FRs,gaze_ic,0
0,201,TWOU,uctun,FRs,gaze_lm,0
0,201,TWOU,uctun,FRs,gaze_lmopt,0
0,201,TWOU,uctun,FRs,gaze_tm,0
0,201,TWOU,uctun,FRs,gaze_tmopt,2
0,201,TWOU,uctun,FRs,none,0
0,202,TWOU,uctun,BR,total,1013
0,202,TWOU,uctun,BR,gaze_fw,565
0,202,TWOU,uctun,BR,gaze_ic,0
0,202,TWOU,uctun,BR,gaze_lm,0
0,202,TWOU,uctun,BR,gaze_lmopt,0
0,202,TWOU,uctun,BR,gaze_tm,127
0,202,TWOU,uctun,BR,gaze_tmopt,188
0,202,TWOU,uctun,BR,none,261
0,203,TWOU,uctun,BL,total,933
0,203,TWOU,uctun,BL,gaze_fw,567
0,203,TWOU,uctun,BL,gaze_ic,0
0,203,TWOU,uctun,BL,gaze_lm,0
0,203,TWOU,uctun,BL,gaze_lmopt,0
0,203,TWOU,uctun,BL,gaze_tm,122
0,203,TWOU,uctun,BL,gaze_tmopt,127
0,203,TWOU,uctun,BL,none,243
0,204,TWOU,uctun,BR,total,1003
0,204,TWOU,uctun,BR,gaze_fw,624
0,204,TWOU,uctun,BR,gaze_ic,0
0,204,TWOU,uctun,BR,gaze_lm,0
0,204,TWOU,uctun,BR,gaze_lmopt,0
0,204,TWOU,uctun,BR,gaze_tm,114
0,204,TWOU,uctun,BR,gaze_tmopt,123
0,204,TWOU,uctun,BR,none,264
0,205,TWOU,uctun,FR,total,1188
0,205,TWOU,uctun,FR,gaze_fw,1055
0,205,TWOU,uctun,FR,gaze_ic,0
0,205,TWOU,uctun,FR,gaze_lm,0
0,205,TWOU,uctun,FR,gaze_lmopt,0
0,205,TWOU,uctun,FR,gaze_tm,101
0,205,TWOU,uctun,FR,gaze_tmopt,182
0,205,TWOU,uctun,FR,none,54
0,206,TWOU,uctun,FR,total,1413
0,206,TWOU,uctun,FR,gaze_fw,1230
0,206,TWOU,uctun,FR,gaze_ic,0
0,206,TWOU,uctun,FR,gaze_lm,0
0,206,TWOU,uctun,FR,gaze_lmopt,0
0,206,TWOU,uctun,FR,gaze_tm,85
0,206,TWOU,uctun,FR,gaze_tmopt,283
0,206,TWOU,uctun,FR,none,66
0,166,TWOU,noucfog,FL,total,915
0,166,TWOU,noucfog,FL,gaze_fw,685
0,166,TWOU,noucfog,FL,gaze_ic,0
0,166,TWOU,noucfog,FL,gaze_lm,0
0,166,TWOU,noucfog,FL,gaze_lmopt,0
0,166,TWOU,noucfog,FL,gaze_tm,44
0,166,TWOU,noucfog,FL,gaze_tmopt,136
0,166,TWOU,noucfog,FL,none,94
0,167,TWOU,noucfog,FR,total,1007
0,167,TWOU,noucfog,FR,gaze_fw,702
0,167,TWOU,noucfog,FR,gaze_ic,0
0,167,TWOU,noucfog,FR,gaze_lm,0
0,167,TWOU,noucfog,FR,gaze_lmopt,0
0,167,TWOU,noucfog,FR,gaze_tm,181
0,167,TWOU,noucfog,FR,gaze_tmopt,366
0,167,TWOU,noucfog,FR,none,51
0,168,TWOU,noucfog,FL,total,894
0,168,TWOU,noucfog,FL,gaze_fw,687
0,168,TWOU,noucfog,FL,gaze_ic,0
0,168,TWOU,noucfog,FL,gaze_lm,0
0,168,TWOU,noucfog,FL,gaze_lmopt,0
0,168,TWOU,noucfog,FL,gaze_tm,0
0,168,TWOU,noucfog,FL,gaze_tmopt,214
0,168,TWOU,noucfog,FL,none,11
0,169,TWOU,noucfog,BL,total,939
0,169,TWOU,noucfog,BL,gaze_fw,633
0,169,TWOU,noucfog,BL,gaze_ic,0
0,169,TWOU,noucfog,BL,gaze_lm,0
0,169,TWOU,noucfog,BL,gaze_lmopt,0
0,169,TWOU,noucfog,BL,gaze_tm,2
0,169,TWOU,noucfog,BL,gaze_tmopt,186
0,169,TWOU,noucfog,BL,none,131
0,170,TWOU,noucfog,BR,total,848
0,170,TWOU,noucfog,BR,gaze_fw,443
0,170,TWOU,noucfog,BR,gaze_ic,0
0,170,TWOU,noucfog,BR,gaze_lm,0
0,170,TWOU,noucfog,BR,gaze_lmopt,0
0,170,TWOU,noucfog,BR,gaze_tm,4
0,170,TWOU,noucfog,BR,gaze_tmopt,120
0,170,TWOU,noucfog,BR,none,315
0,171,TWOU,noucfog,FRs,total,320
0,171,TWOU,noucfog,FRs,gaze_fw,238
0,171,TWOU,noucfog,FRs,gaze_ic,0
0,171,TWOU,noucfog,FRs,gaze_lm,0
0,171,TWOU,noucfog,FRs,gaze_lmopt,0
0,171,TWOU,noucfog,FRs,gaze_tm,79
0,171,TWOU,noucfog,FRs,gaze_tmopt,111
0,171,TWOU,noucfog,FRs,none,13
0,172,TWOU,noucfog,FL,total,949
0,172,TWOU,noucfog,FL,gaze_fw,778
0,172,TWOU,noucfog,FL,gaze_ic,0
0,172,TWOU,noucfog,FL,gaze_lm,0
0,172,TWOU,noucfog,FL,gaze_lmopt,0
0,172,TWOU,noucfog,FL,gaze_tm,103
0,172,TWOU,noucfog,FL,gaze_tmopt,115
0,172,TWOU,noucfog,FL,none,56
0,173,TWOU,noucfog,BL,total,873
0,173,TWOU,noucfog,BL,gaze_fw,556
0,173,TWOU,noucfog,BL,gaze_ic,0
0,173,TWOU,noucfog,BL,gaze_lm,0
0,173,TWOU,noucfog,BL,gaze_lmopt,0
0,173,TWOU,noucfog,BL,gaze_tm,230
0,173,TWOU,noucfog,BL,gaze_tmopt,236
0,173,TWOU,noucfog,BL,none,84
0,174,TWOU,noucfog,FRs,total,312
0,174,TWOU,noucfog,FRs,gaze_fw,193
0,174,TWOU,noucfog,FRs,gaze_ic,0
0,174,TWOU,noucfog,FRs,gaze_lm,0
0,174,TWOU,noucfog,FRs,gaze_lmopt,0
0,174,TWOU,noucfog,FRs,gaze_tm,89
0,174,TWOU,noucfog,FRs,gaze_tmopt,112
0,174,TWOU,noucfog,FRs,none,34
0,175,TWOU,noucfog,BR,total,881
0,175,TWOU,noucfog,BR,gaze_fw,605
0,175,TWOU,noucfog,BR,gaze_ic,0
